"Date","Android","iOS","KaiOS","Samsung","Unknown","Nokia Unknown","Linux","Other"
2023-01,95.79,3.55,0.54,0.07,0.02,0.02,0,0.02
2023-02,95.6,3.59,0.68,0.07,0.01,0.01,0,0.01
2023-03,95.38,3.89,0.62,0.07,0.02,0.02,0,0.02
2023-04,95,4.21,0.66,0.08,0.02,0.02,0,0.02
2023-05,93.67,4.93,1.24,0.08,0.02,0.02,0.02,0.02
2023-06,94.64,4.18,1.03,0.07,0.02,0.02,0.02,0.01
2023-07,95.21,3.88,0.75,0.07,0.03,0.02,0.02,0.01
2023-08,95.34,3.98,0.5,0.08,0.05,0.01,0.02,0.01
2023-09,95.33,3.94,0.57,0.06,0.05,0.01,0.02,0.01
2023-10,95.36,3.85,0.63,0.05,0.06,0.01,0.02,0.01
2023-11,95.23,3.94,0.68,0.05,0.05,0.01,0.02,0.01
2023-12,95.07,4.02,0.76,0.05,0.06,0.01,0.02,0.01
